label,region,name,certification_level,website,email,latitude,longitude,geocoding_status
Green Fins,El Nido,Tarawis El Nido Island Tours,certified bronze member,https://www.tarawiselnidoislandtours.com,tarawiselnidoislandtours19@gmail.com,11.1784484,119.3899944,OK
Green Fins,Dauin and Zamboanguita,Bongo Bongo divers,digital member,https://divebongo.com,ask@divebongo.com,9.187629,123.2655698,OK
Green Fins,Dauin and Zamboanguita,Marine Conservation Philippines,digital member,https://www.marineconservationphilippines.org,info@mcp.email,9.0802631,123.1509094,OK
Green Fins,Siquijor,Last Frontier Dive,digital member,https://www.lastfrontierdive.com,info@lastfrontierdive.com,9.150221499999999,123.5010351,OK
Green Fins,El Nido,Adventure Scuba,inactive member,http://www.elnidoadventurescuba.com/,bgmalana@yahoo.com,11.1989164,119.4231658,OK
Green Fins,Dauin and Zamboanguita,ALDIVE resort,inactive member,https://www.aldivedumaguete.com,info@aldivedumaguete.com,9.1732183,123.252152,OK
Green Fins,Moalboal,Alegria Dive Resort,inactive member,https://alegriadiveresort.com/,info@alegriadiveresort.com,9.7570944,123.3444066,OK
Green Fins,El Nido,Alexzus Booking Office,inactive member,https://,suladkristinegrace@yahoo.com,11.1805454,119.3893187,OK
Green Fins,El Nido,alexzus travel and tours,inactive member,https://www.facebook.com/kristinegrace.sulad?mibextid=avESrC,ibonjoannerachel@gmail.com,11.1805454,119.3893187,OK
Green Fins,El Nido,All (Four) Seasons Beach Resort Booking Office,inactive member,https://,jrkim_18@yahoo.com,11.1989164,119.4231658,OK
Green Fins,Panglao Island,Alona Divers Diving School,inactive member,http://www.alona-divers.com/default.asp,alonadivers@hotmail.com,9.5482927,123.7717608,OK
Green Fins,Mabini,Anilao Scuba Dive Center,inactive member,https://www.facebook.com/AnilaoScubaDiveCenter/,anilaoscubadivecenter@gmail.com,13.7564435,120.9162139,OK
Green Fins,El Nido,APT Travel Inc. El Nido branch,inactive member,https://www.facebook.com/APTTravelsInc,vatolentino@apttravels.com.ph,11.180554,119.389613,OK
Green Fins,Puerto Galera,Asia Divers Philippines,inactive member,http://www.asiadivers.com/,admin@asiadivers.com,13.4447529,120.9187827,OK
Green Fins,Puerto Galera,BadLadz,inactive member,http://badladz.com,divebadladz@gmail.com,13.4889605,120.9600009,OK
Green Fins,El Nido,Beachfront Travel and Tour,inactive member,https://www.facebook.com/beachfronttravelandtour?mibextid=ZbWKwL,beachfrontelnido@yahoo.com,11.1795644,119.3890393,OK
Green Fins,Puerto Galera,Big Apple Dive Resort,inactive member,http://www.divebigapple.com,bigapplepuertogalera@gmail.com,13.5200671,120.9745249,OK
Green Fins,El Nido,Bird's Nest Travel and Tours,inactive member,https://,marjelnido@gmail.com,11.1797226,119.3880794,OK
Green Fins,Malapascua Island,Blue Heaven Diveshop,inactive member,https://,blueheaven@gmail.com,11.3269652,124.116662,OK
Green Fins,Puerto Galera,Blue Lagoon Dive Resort,inactive member,http://bluelagoondiveresort-philippines.com/en/home/,bluelagoondiveresort@gmail.com,13.5225614,120.9718306,OK
Green Fins,Panglao Island,Blue Water Diving,inactive member,http://www.bluewaterdive.com/,mrgomc@gmail.com,9.5484549,123.763364,OK
Green Fins,Panglao Island,Bohol Divers Club,inactive member,https://www.alonaboholdiversclub.com/,alcarazsara@netscape.net,9.5476748,123.7697044,OK
Green Fins,Panglao Island,Bohol Sea Resort,inactive member,https://www.boholsearesort.com,info@boholsearesort.ph,9.5481354,123.7580561,OK
Green Fins,Mactan Island,Boyla Dive Centre,inactive member,https://www.boyladivingresort.net/,boyladiveresort@yahoo.com,10.2862095,124.0024837,OK
Green Fins,El Nido,Cadlao Tour Booking Office,inactive member,https://,cadlaotour-beth@yahoo.com,11.1806133,119.3902743,OK
Green Fins,El Nido,Caera Travel and Tours,inactive member,https://,caeratraveltourelnido@yahoo.com,11.1799732,119.3898887,OK
Green Fins,El Nido,Cashem Travel and Tours,inactive member,https://www.facebook.com/gilbertelnido,gilbertelnidocashem13@gmail.com,11.1812396,119.3913111,OK
Green Fins,Moalboal,Cebu Dive Centre,inactive member,http://www.cebudivecentre.com,info@cebudivecentre.com,9.9507656,123.3657318,OK
Green Fins,Moalboal,Cebu Neptune Diving Adventures,inactive member,http://www.neptunediving.com/,johan@neptunediving.com,9.948438,123.3660674,OK
Green Fins,El Nido,Christian Jay Travel and Tours,inactive member,https://www.facebook.com/Ivan.hanz.372,ivanhanz22023@gmail.com,11.1795644,119.3890393,OK
Green Fins,El Nido,Citrin Travel & Tours,inactive member,https://,citrintravelandtour@yahoo.com,11.1627947,119.3985615,OK
Green Fins,Puerto Galera,Coco Divers,inactive member,http://www.cocodivers.com,sales@cocobeach.com,13.5253518,120.9631108,OK
Green Fins,Panglao Island,Deep Blue Dive Resort,inactive member,http://www.deepblue-bohol.co.kr/,operation@deepbluedivecenter.com,9.546991,123.7530734,OK
Green Fins,El Nido,Deep Blue Dive Seafari Inc.,inactive member,http://www.deepblueseafari.com/,deepblueseafari@gmail.com,11.1801802,119.3884548,OK
Green Fins,Panglao Island,Deepper Dive Inc,inactive member,http://www.deepper.co.kr,hanbuty@hanmail.net,9.547468,123.755987,OK
Green Fins,El Nido,Distal's Island Hopping,inactive member,http://elnidoboutiqueandartcafe.com/,tanidistal@yahoo.com,11.1648125,119.3985625,OK
Green Fins,Malapascua Island,Dive Society Malapascua,inactive member,http://www.divesociety.com/ds_mala/index_mala.asp,malapascua@divesociety.com,11.3280695,124.1143005,OK
Green Fins,Malapascua Island,Divelink Cebu,inactive member,http://divelinkcebu.com/,divelinkcebu@yahoo.com,11.3284666,124.114352,OK
Green Fins,Puerto Galera,Diving Park,inactive member,https://www.divingpark.com,park3kr@gmail.com,13.5246931,120.9688926,OK
Green Fins,El Nido,Dolarog Beach Resort,inactive member,http://www.dolarog.com,edolarog@gmail.com,11.135674,119.397802,OK
Green Fins,El Nido,El Bacuit Travel and Tours,inactive member,https://,elbacuit_philippines@yahoo.com,11.1700231,119.3949789,OK
Green Fins,Puerto Galera,El Canonero,inactive member,http://www.divingresortelcanonero.com/index_eng.html,info@divingresortelcanonero.com,13.5024453,120.9527376,OK
Green Fins,El Nido,El Nido Resorts - Apulit Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,asamala@elnidoresorts.com,11.1989164,119.4231658,OK
Green Fins,El Nido,El Nido Resorts - Apulit Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,asamala@elnidoresorts.com,11.1989164,119.4231658,OK
Green Fins,El Nido,El Nido Resorts - Lagen Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,csantos@elnidoresorts.com,11.0872124,119.397616,OK
Green Fins,El Nido,El Nido Resorts - Lagen Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,csantos@elnidoresorts.com,11.0872124,119.397616,OK
Green Fins,El Nido,El Nido Resorts - Miniloc  Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,Nbarrameda@elnidoresorts.com,11.1494458,119.3201341,OK
Green Fins,El Nido,El Nido Resorts - Miniloc  Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,Nbarrameda@elnidoresorts.com,11.1494458,119.3201341,OK
Green Fins,El Nido,El Nido Resorts - Pangulasian Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,Mpolicarpio@elnidoresorts.com,11.1156828,119.3322944,OK
Green Fins,El Nido,El Nido Resorts - Pangulasian Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,Mpolicarpio@elnidoresorts.com,11.1156828,119.3322944,OK
Green Fins,Puerto Galera,Elizabeth's Hideaway - Sandbar,inactive member,http://www.sandbardivers.com,elizabethhideaway@gmail.com,13.5105023,120.9466929,OK
Green Fins,Malapascua Island,Emerald Green Malapascua,inactive member,https://,info@emeraldgreen-malapascua.com,11.3278644,124.1205847,OK
Green Fins,Malapascua Island,Exotic Dive Resort,inactive member,http://www.malapascua.net/,gopro@malapascua.net,11.3270333,124.1154059,OK
Green Fins,El Nido,Fast & Furious Booking Office,inactive member,https://,,11.1989164,119.4231658,OK
Green Fins,Malapascua Island,Fish Buddies,inactive member,http://www.fishbuddies.net/home.html,fishbuddiesmalapascua@gmail.com,11.3269415,124.1184212,OK
Green Fins,Puerto Galera,Fishermen's Cove (Diver's Cove),inactive member,http://www.fishermenscove.com,info@fishermenscove.com,13.5033191,120.9440454,OK
Green Fins,Malapascua Island,French Kiss Divers - Malapascua,inactive member,http://malapascua-plongee.com/,fkdmalapascua@gmail.com,11.3269159,124.118034,OK
Green Fins,Puerto Galera,Frontier Scuba,inactive member,http://www.frontierscuba.com,frontierscuba@gmail.com,13.5210529,120.9736846,OK
Green Fins,Malapascua Island,Fun'n'Sun - Malapascua,inactive member,http://www.funsundivetravel.com/,sito@funsundivetravel.com,11.3358464,124.1156362,OK
Green Fins,El Nido,Gemini Travel and Tours,inactive member,https://,geminitravelandtours@yahoo.com,11.1795644,119.3890393,OK
Green Fins,Panglao Island,Go Deep,inactive member,http://godeep.ph/,office@godeep.ph,9.5873563,123.8076302,OK
Green Fins,El Nido,Golden Monkey Travel and Tour,inactive member,https://www.facebook.com/GoldenMonkeyPh,doshermanos1082@gmail.com,11.1795644,119.3890393,OK
Green Fins,El Nido,Haqqy Life Travel & Tours,inactive member,https://www.haqqy.life,hello.haqqylife@gmail.com,11.1811869,119.3918843,OK
Green Fins,El Nido,Hawaiian Adventure,inactive member,https://,hawaiian_tours@yahoo.com,11.1989164,119.4231658,OK
Green Fins,El Nido,Islandfront Island Tour Booking Office,inactive member,https://,islandfront_cottages@yahoo.com,11.1989164,119.4231658,OK
Green Fins,El Nido,Islanen Outdoor Tours,inactive member,https://,loy_elnido@yahoo.com,11.1818604,119.3920162,OK
Green Fins,Malapascua Island,Johan Dive,inactive member,http://www.johandive.com/,chelhwanoh@naver.com,11.3284387,124.1209502,OK
Green Fins,Puerto Galera,John and Ann Travel and Tours,inactive member,https://www.Jaatravelandtours.com,jaatravelandtour@gmail.com,13.5054746,120.9325074,OK
Green Fins,Panglao Island,Just Dive Bohol,inactive member,http://www.justdivebohol.com/,hum2d@naver.com,9.557482799999999,123.7571303,OK
Green Fins,El Nido,Kapupuruan Travel and Tours,inactive member,https://www.facebook.com/Kapupuruantours,alfredhgustilo@gmail.com,11.1815006,119.3913193,OK
Green Fins,El Nido,Leatherback Travel and Cruise,inactive member,https://www.facebook.com/leatherbacktravelandcruise,leatherbackcruise@gmail.com,11.1796055,119.3872065,OK
Green Fins,El Nido,Life Simple Pleasure Travel and Tours,inactive member,https://,,11.1818399,119.3918347,OK
Green Fins,Malapascua Island,Little Mermaid Dive Resort,inactive member,http://www.littlemermaiddiveresort.com/,malapascua@live.nl,11.3269548,124.1168699,OK
Green Fins,Moalboal,M&L Divers Town,inactive member,http://www.oceanglobe.biz/,oceanglobe@hotmail.co.jp,9.946269299999999,123.3681803,OK
Green Fins,Puerto Galera,Marco Vincent Dive Resort,inactive member,http://www.mvdive.com,om@mvdive.com,13.5061351,120.9062404,OK
Green Fins,El Nido,Midnight Sun Island Tour,inactive member,http://midnightsunelnido.wordpress.com/,midnightsun_elnido_islandtour@yahoo.com,11.1989164,119.4231658,OK
Green Fins,El Nido,Nido Cruiser,inactive member,https://,,11.1989164,119.4231658,OK
Green Fins,El Nido,Northern Hope Tours,inactive member,https://,northernhopetours@gmail.com,11.1801134,119.3873736,OK
Green Fins,Puerto Galera,Octopus Divers,inactive member,https://www.mac-octopusdivers.com,info@mac-octopusdivers.com,13.520624,120.9774319,OK
Green Fins,Puerto Galera,Paradise Dive Resort,inactive member,http://www.paradise-dive.net,diver_ricky@hotmail.com,13.5214564,120.9781222,OK
Green Fins,Panglao Island,Paraiso Chino Dive Center,inactive member,https://,charles_zhang810@126.com,9.5873563,123.8076302,OK
Green Fins,Panglao Island,Philippine Fun Divers,inactive member,https://www.boholfundivers.com,holger.horn@gmail.com,9.548181,123.771208,OK
Green Fins,Panglao Island,Piratas Alona Diving Center,inactive member,https://www.piratasdivecenter.com,piratasalonadivingcenter@gmail.com,9.548715,123.7735554,OK
Green Fins,Puerto Galera,Puerto Galera Online Services,inactive member,https://www.puertogalera.org,puertogaleraoffice@gmail.com,13.5029592,120.9594039,OK
Green Fins,Puerto Galera,Red Sun Dive Resort,inactive member,http://www.redsunresort.com,redsundiver@hotmail.com,13.5205929,120.976866,OK
Green Fins,Malapascua Island,Sea Explorers,inactive member,http://http://www.sea-explorers.com/eng-malapascua/,malapascua@sea-explorers.com,11.3358464,124.1156362,OK
Green Fins,Dauin and Zamboanguita,Sea Explorers Dauin,inactive member,http://www.sea-explorers.com/dauin/,jan@sea-explorers.com,9.1913209,123.2709107,OK
Green Fins,Puerto Galera,Sea Rider Dive Center,inactive member,http://www.seariderdivecenter.com,mark@seariderdivecenter.com,13.5212192,120.9731527,OK
Green Fins,Malapascua Island,Sea Slug Divers,inactive member,https://,rhein1118@yahoo.com,11.3281783,124.1160786,OK
Green Fins,Panglao Island,Seaquest Dive Center Bohol,inactive member,https://www.seaquestdivecenter.com,ben@seaquestdivecenter.com,9.548572799999999,123.7728485,OK
Green Fins,El Nido,Servant Tour Booking Office,inactive member,https://,,11.1989164,119.4231658,OK
Green Fins,Panglao Island,Sierra Madre Divers,inactive member,https://www.smdiversbohol.com,info@smdiversbohol.com,9.548663,123.7731619,OK
Green Fins,Puerto Galera,South Sea Divers,inactive member,http://www.southseadivers.com,dive@southseadivers.com,13.520915,120.974062,OK
Green Fins,El Nido,Spur Travel & Tours,inactive member,https://www.spurtravelpalawan.com,spurtravel@yahoo.com,11.1616185,119.3985906,OK
Green Fins,El Nido,Stingray Travel and Tours,inactive member,https://,,11.1795644,119.3890393,OK
Green Fins,El Nido,Stunning Vistas Island Tours,inactive member,https://,reservation_stunningvista@yahoo.com,11.1989164,119.4231658,OK
Green Fins,El Nido,Submariner Diving Centre,inactive member,http://www.submariner-diving.com/,info@submariner-diving.com,11.1811662,119.3909735,OK
Green Fins,Puerto Galera,SYPHIL TRAVEL AND TOURS,inactive member,https://www.syphiltravelandtours.com/,cg.syphilentertainmentprod@gmail.com,13.4447529,120.9187827,OK
Green Fins,Moalboal,The Blue Abyss Dive Shop,inactive member,http://www.blueabyssdiving.com/,info@blueabyssdiving.com,9.9461299,123.3667854,OK
Green Fins,Malapascua Island,Thresher Cove Divers,inactive member,http://threshercove.com/,dish@threshercove.com,11.3396496,124.1179454,OK
Green Fins,Puerto Galera,Tina's Reef Divers,inactive member,http://www.tinasreefdivers.com,info@tinasreefdivers.com,13.5218256,120.9785421,OK
Green Fins,El Nido,Valric Booking Office,inactive member,https://,ruel.enaya@yahoo.com,11.1989164,119.4231658,OK
Green Fins,Puerto Galera,Verde Divers,inactive member,http://www.gulidiving.com,gulidiving@gmail.com,13.5207716,120.9746413,OK
Green Fins,Dauin and Zamboanguita,Wild Scuba Dive Center,inactive member,https://web.facebook.com/wildscubaph/?_rdc=1&_rdr,wildscubaph@gmail.com,9.139966,123.2290355,OK
Green Fins,Puerto Galera,Big Apple Dive Resort,inactive member,https://www.bigapplediveresort.com,jdthorp@hotmail.com,13.5200671,120.9745249,OK
Green Fins,Dauin and Zamboanguita,Liquid Dive Dumaguete,inactive member,https://www.liquiddumaguete.com,dive@liquiddumaguete.com,9.211231,123.2846069,OK
Green Fins,Dauin and Zamboanguita,Mike's Dauin Beach Resort,inactive member,https://mikes-beachresort.com/,info@mikes-beachresort.com,9.189743,123.2707061,OK
Green Fins,Boracay,New Wave Divers Boracay,inactive member,https://www.newwavesdiversboracay.com,dive@newwavediversboracay.com,11.966702,121.9208253,OK
Green Fins,Mabini,Solitude Acacia Resort,inactive member,https://www.solitude.world,emailus@solitude-acacia.com,13.7275275,120.884177,OK
