centre_name,stamp_image,location,contacts,site_link,latitude,longitude
Krischana travel and tours,gf_stamp_bronze.png,,facebook.com/krischanatravelagencyElnidopalawan | chadalpas84@gmail.com,https://www.facebook.com/krischanatravelagencyElnidopalawan,,
Spider Travel and Tours,gf_stamp_bronze.png,,facebook.com/SpiderTravelTour | spidertravelandtours@outlook.com,https://www.facebook.com/SpiderTravelTour,,
Tarawis El Nido Island Tours,gf_stamp_bronze.png,,tarawiselnidoislandtours.com | tarawiselnidoislandtours19@gmail.com,https://www.tarawiselnidoislandtours.com,,
Bongo Bongo divers,gf_stamp_digital.png,,divebongo.com | ask@divebongo.com,https://divebongo.com,,
Marine Conservation Philippines,gf_stamp_digital.png,,marineconservationphilippines.org | info@mcp.email,https://www.marineconservationphilippines.org,,
Last Frontier Dive,gf_stamp_digital.png,,lastfrontierdive.com | info@lastfrontierdive.com,https://www.lastfrontierdive.com,,
Adventure Scuba,,,elnidoadventurescuba.com | bgmalana@yahoo.com,http://www.elnidoadventurescuba.com/,,
ALDIVE resort,,,aldivedumaguete.com | info@aldivedumaguete.com,https://www.aldivedumaguete.com,,
Alegria Dive Resort,,,alegriadiveresort.com | info@alegriadiveresort.com,https://alegriadiveresort.com/,,
Alexzus Booking Office,,, | suladkristinegrace@yahoo.com,https://,,
alexzus travel and tours,,,facebook.com/kristinegrace.sulad?mibextid=avESrC | ibonjoannerachel@gmail.com,https://www.facebook.com/kristinegrace.sulad?mibextid=avESrC,,
All (Four) Seasons Beach Resort Booking Office,,, | jrkim_18@yahoo.com,https://,,
Alona Divers Diving School,,,alona-divers.com/default.asp | alonadivers@hotmail.com,http://www.alona-divers.com/default.asp,,
Anilao Scuba Dive Center,,,facebook.com/AnilaoScubaDiveCenter | anilaoscubadivecenter@gmail.com,https://www.facebook.com/AnilaoScubaDiveCenter/,,
APT Travel Inc. El Nido branch,,,facebook.com/APTTravelsInc | vatolentino@apttravels.com.ph,https://www.facebook.com/APTTravelsInc,,
Asia Divers Philippines,,,asiadivers.com | admin@asiadivers.com,http://www.asiadivers.com/,,
BadLadz,,,badladz.com | divebadladz@gmail.com,http://badladz.com,,
Beachfront Travel and Tour,,,facebook.com/beachfronttravelandtour?mibextid=ZbWKwL | beachfrontelnido@yahoo.com,https://www.facebook.com/beachfronttravelandtour?mibextid=ZbWKwL,,
Big Apple Dive Resort,,,divebigapple.com | bigapplepuertogalera@gmail.com,http://www.divebigapple.com,,
Bird's Nest Travel and Tours,,, | marjelnido@gmail.com,https://,,
Blue Heaven Diveshop,,, | blueheaven@gmail.com,https://,,
Blue Lagoon Dive Resort,,,bluelagoondiveresort-philippines.com/en/home | bluelagoondiveresort@gmail.com,http://bluelagoondiveresort-philippines.com/en/home/,,
Blue Water Diving,,,bluewaterdive.com | mrgomc@gmail.com,http://www.bluewaterdive.com/,,
Bohol Divers Club,,,alonaboholdiversclub.com | alcarazsara@netscape.net,https://www.alonaboholdiversclub.com/,,
Bohol Sea Resort,,,boholsearesort.com | info@boholsearesort.ph,https://www.boholsearesort.com,,
Boyla Dive Centre,,,boyladivingresort.net | boyladiveresort@yahoo.com,https://www.boyladivingresort.net/,,
Cadlao Tour Booking Office,,, | cadlaotour-beth@yahoo.com,https://,,
Caera Travel and Tours,,, | caeratraveltourelnido@yahoo.com,https://,,
Cashem Travel and Tours,,,facebook.com/gilbertelnido | gilbertelnidocashem13@gmail.com,https://www.facebook.com/gilbertelnido,,
Cebu Dive Centre,,,cebudivecentre.com | info@cebudivecentre.com,http://www.cebudivecentre.com,,
Cebu Neptune Diving Adventures,,,neptunediving.com | johan@neptunediving.com,http://www.neptunediving.com/,,
Christian Jay Travel and Tours,,,facebook.com/Ivan.hanz.372 | ivanhanz22023@gmail.com,https://www.facebook.com/Ivan.hanz.372,,
Citrin Travel & Tours,,, | citrintravelandtour@yahoo.com,https://,,
Coco Divers,,,cocodivers.com | sales@cocobeach.com,http://www.cocodivers.com,,
Deep Blue Dive Resort,,,deepblue-bohol.co.kr | operation@deepbluedivecenter.com,http://www.deepblue-bohol.co.kr/,,
Deep Blue Dive Seafari Inc.,,,deepblueseafari.com | deepblueseafari@gmail.com,http://www.deepblueseafari.com/,,
Deepper Dive Inc,,,deepper.co.kr | hanbuty@hanmail.net,http://www.deepper.co.kr,,
Distal's Island Hopping,,,elnidoboutiqueandartcafe.com | tanidistal@yahoo.com,http://elnidoboutiqueandartcafe.com/,,
Dive Society Malapascua,,,divesociety.com/ds_mala/index_mala.asp | malapascua@divesociety.com,http://www.divesociety.com/ds_mala/index_mala.asp,,
Divelink Cebu,,,divelinkcebu.com | divelinkcebu@yahoo.com,http://divelinkcebu.com/,,
Diving Park,,,divingpark.com | park3kr@gmail.com,https://www.divingpark.com,,
Dolarog Beach Resort,,,dolarog.com | edolarog@gmail.com,http://www.dolarog.com,,
El Bacuit Travel and Tours,,, | elbacuit_philippines@yahoo.com,https://,,
El Canonero,,,divingresortelcanonero.com/index_eng.html | info@divingresortelcanonero.com,http://www.divingresortelcanonero.com/index_eng.html,,
El Nido Resorts - Apulit Island - Diving Centre,,,elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island | asamala@elnidoresorts.com,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,,
El Nido Resorts - Apulit Island - Snorkel Centre,,,elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island | asamala@elnidoresorts.com,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,,
El Nido Resorts - Lagen Island - Diving Centre,,,elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island | csantos@elnidoresorts.com,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,,
El Nido Resorts - Lagen Island - Snorkel Centre,,,elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island | csantos@elnidoresorts.com,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,,
El Nido Resorts - Miniloc  Island - Diving Centre,,,elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc | Nbarrameda@elnidoresorts.com,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,,
El Nido Resorts - Miniloc  Island - Snorkel Centre,,,elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc | Nbarrameda@elnidoresorts.com,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,,
El Nido Resorts - Pangulasian Island - Diving Centre,,,elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island | Mpolicarpio@elnidoresorts.com,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,,
El Nido Resorts - Pangulasian Island - Snorkel Centre,,,elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island | Mpolicarpio@elnidoresorts.com,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,,
Elizabeth's Hideaway - Sandbar,,,sandbardivers.com | elizabethhideaway@gmail.com,http://www.sandbardivers.com,,
Emerald Green Malapascua,,, | info@emeraldgreen-malapascua.com,https://,,
Exotic Dive Resort,,,malapascua.net | gopro@malapascua.net,http://www.malapascua.net/,,
Fast & Furious Booking Office,,, | ,https://,,
Fish Buddies,,,fishbuddies.net/home.html | fishbuddiesmalapascua@gmail.com,http://www.fishbuddies.net/home.html,,
Fishermen's Cove (Diver's Cove),,,fishermenscove.com | info@fishermenscove.com,http://www.fishermenscove.com,,
French Kiss Divers - Malapascua,,,malapascua-plongee.com | fkdmalapascua@gmail.com,http://malapascua-plongee.com/,,
Frontier Scuba,,,frontierscuba.com | frontierscuba@gmail.com,http://www.frontierscuba.com,,
Fun'n'Sun - Malapascua,,,funsundivetravel.com | sito@funsundivetravel.com,http://www.funsundivetravel.com/,,
Gemini Travel and Tours,,, | geminitravelandtours@yahoo.com,https://,,
Go Deep,,,godeep.ph | office@godeep.ph,http://godeep.ph/,,
Golden Monkey Travel and Tour,,,facebook.com/GoldenMonkeyPh | doshermanos1082@gmail.com,https://www.facebook.com/GoldenMonkeyPh,,
Haqqy Life Travel & Tours,,,haqqy.life | hello.haqqylife@gmail.com,https://www.haqqy.life,,
Hawaiian Adventure,,, | hawaiian_tours@yahoo.com,https://,,
Islandfront Island Tour Booking Office,,, | islandfront_cottages@yahoo.com,https://,,
Islanen Outdoor Tours,,, | loy_elnido@yahoo.com,https://,,
Johan Dive,,,johandive.com | chelhwanoh@naver.com,http://www.johandive.com/,,
John and Ann Travel and Tours,,,Jaatravelandtours.com | jaatravelandtour@gmail.com,https://www.Jaatravelandtours.com,,
Just Dive Bohol,,,justdivebohol.com | hum2d@naver.com,http://www.justdivebohol.com/,,
Kapupuruan Travel and Tours,,,facebook.com/Kapupuruantours | alfredhgustilo@gmail.com,https://www.facebook.com/Kapupuruantours,,
Leatherback Travel and Cruise,,,facebook.com/leatherbacktravelandcruise | leatherbackcruise@gmail.com,https://www.facebook.com/leatherbacktravelandcruise,,
Life Simple Pleasure Travel and Tours,,, | ,https://,,
Little Mermaid Dive Resort,,,littlemermaiddiveresort.com | malapascua@live.nl,http://www.littlemermaiddiveresort.com/,,
M&L Divers Town,,,oceanglobe.biz | oceanglobe@hotmail.co.jp,http://www.oceanglobe.biz/,,
Marco Vincent Dive Resort,,,mvdive.com | om@mvdive.com,http://www.mvdive.com,,
Midnight Sun Island Tour,,,midnightsunelnido.wordpress.com | midnightsun_elnido_islandtour@yahoo.com,http://midnightsunelnido.wordpress.com/,,
Nido Cruiser,,, | ,https://,,
Northern Hope Tours,,, | northernhopetours@gmail.com,https://,,
Octopus Divers,,,mac-octopusdivers.com | info@mac-octopusdivers.com,https://www.mac-octopusdivers.com,,
Paradise Dive Resort,,,paradise-dive.net | diver_ricky@hotmail.com,http://www.paradise-dive.net,,
Paraiso Chino Dive Center,,, | charles_zhang810@126.com,https://,,
Philippine Fun Divers,,,boholfundivers.com | holger.horn@gmail.com,https://www.boholfundivers.com,,
Piratas Alona Diving Center,,,piratasdivecenter.com | piratasalonadivingcenter@gmail.com,https://www.piratasdivecenter.com,,
Puerto Galera Online Services,,,puertogalera.org | puertogaleraoffice@gmail.com,https://www.puertogalera.org,,
Red Sun Dive Resort,,,redsunresort.com | redsundiver@hotmail.com,http://www.redsunresort.com,,
Sea Explorers,,,sea-explorers.com/eng-malapascua | malapascua@sea-explorers.com,http://http://www.sea-explorers.com/eng-malapascua/,,
Sea Explorers Dauin,,,sea-explorers.com/dauin | jan@sea-explorers.com,http://www.sea-explorers.com/dauin/,,
Sea Rider Dive Center,,,seariderdivecenter.com | mark@seariderdivecenter.com,http://www.seariderdivecenter.com,,
Sea Slug Divers,,, | rhein1118@yahoo.com,https://,,
Seaquest Dive Center Bohol,,,seaquestdivecenter.com | ben@seaquestdivecenter.com,https://www.seaquestdivecenter.com,,
Servant Tour Booking Office,,, | ,https://,,
Sierra Madre Divers,,,smdiversbohol.com | info@smdiversbohol.com,https://www.smdiversbohol.com,,
South Sea Divers,,,southseadivers.com | dive@southseadivers.com,http://www.southseadivers.com,,
Spur Travel & Tours,,,spurtravelpalawan.com | spurtravel@yahoo.com,https://www.spurtravelpalawan.com,,
Stingray Travel and Tours,,, | ,https://,,
Stunning Vistas Island Tours,,, | reservation_stunningvista@yahoo.com,https://,,
Submariner Diving Centre,,,submariner-diving.com | info@submariner-diving.com,http://www.submariner-diving.com/,,
SYPHIL TRAVEL AND TOURS,,,syphiltravelandtours.com | cg.syphilentertainmentprod@gmail.com,https://www.syphiltravelandtours.com/,,
The Blue Abyss Dive Shop,,,blueabyssdiving.com | info@blueabyssdiving.com,http://www.blueabyssdiving.com/,,
Thresher Cove Divers,,,threshercove.com | dish@threshercove.com,http://threshercove.com/,,
Tina's Reef Divers,,,tinasreefdivers.com | info@tinasreefdivers.com,http://www.tinasreefdivers.com,,
Valric Booking Office,,, | ruel.enaya@yahoo.com,https://,,
Verde Divers,,,gulidiving.com | gulidiving@gmail.com,http://www.gulidiving.com,,
Wild Scuba Dive Center,,,web.facebook.com/wildscubaph/?_rdc=1&_rdr | wildscubaph@gmail.com,https://web.facebook.com/wildscubaph/?_rdc=1&_rdr,,
Big Apple Dive Resort,,,bigapplediveresort.com | jdthorp@hotmail.com,https://www.bigapplediveresort.com,,
Liquid Dive Dumaguete,,,liquiddumaguete.com | dive@liquiddumaguete.com,https://www.liquiddumaguete.com,,
Mike's Dauin Beach Resort,,,mikes-beachresort.com | info@mikes-beachresort.com,https://mikes-beachresort.com/,,
New Wave Divers Boracay,,,newwavesdiversboracay.com | dive@newwavediversboracay.com,https://www.newwavesdiversboracay.com,,
Solitude Acacia Resort,,,solitude.world | emailus@solitude-acacia.com,https://www.solitude.world,,
