label,region,name,certification_level,website,email
Green Fins,Panglao Island,Blue Revival Diving College,certified silver member,https://www.dive-bohol.com,bluerevivaldive@gmail.com
Green Fins,Panglao Island,Valm Divers,certified silver member,https://www.valmdiversbohol.com,info@valmdiversbohol.com
Green Fins,Bohol,Ecological Divers Diving Center,certified silver member,https://www.boholecodivers.com,boholecodivers@gmail.com
Green Fins,Bohol,MARIO DIVE RESORT,certified silver member,https://www.mariodivingbohol@yahoo.com,mariodivingbohol@yahoo.com
Green Fins,Bohol,Seaflower Dive,digital member,https://www.seaflowerdive.com,mrgomc@gmail.com
Green Fins,El Nido,Go Paradise Travel & Tours,certified bronze member,https://www.goparadise.biz,info@goparadise.org
Green Fins,El Nido,Krischana travel and tours,certified bronze member,https://www.facebook.com/krischanatravelagencyElnidopalawan,chadalpas84@gmail.com
Green Fins,El Nido,Spider Travel and Tours,certified bronze member,https://www.facebook.com/SpiderTravelTour,spidertravelandtours@outlook.com
Green Fins,El Nido,Tarawis El Nido Island Tours,certified bronze member,https://www.tarawiselnidoislandtours.com,tarawiselnidoislandtours19@gmail.com
Green Fins,Dauin and Zamboanguita,Bongo Bongo divers,digital member,https://divebongo.com,ask@divebongo.com
Green Fins,Dauin and Zamboanguita,Marine Conservation Philippines,digital member,https://www.marineconservationphilippines.org,info@mcp.email
Green Fins,Siquijor,Last Frontier Dive,digital member,https://www.lastfrontierdive.com,info@lastfrontierdive.com
Green Fins,El Nido,Adventure Scuba,inactive member,http://www.elnidoadventurescuba.com/,bgmalana@yahoo.com
Green Fins,Dauin and Zamboanguita,ALDIVE resort,inactive member,https://www.aldivedumaguete.com,info@aldivedumaguete.com
Green Fins,Moalboal,Alegria Dive Resort,inactive member,https://alegriadiveresort.com/,info@alegriadiveresort.com
Green Fins,El Nido,Alexzus Booking Office,inactive member,https://,suladkristinegrace@yahoo.com
Green Fins,El Nido,alexzus travel and tours,inactive member,https://www.facebook.com/kristinegrace.sulad?mibextid=avESrC,ibonjoannerachel@gmail.com
Green Fins,El Nido,All (Four) Seasons Beach Resort Booking Office,inactive member,https://,jrkim_18@yahoo.com
Green Fins,Panglao Island,Alona Divers Diving School,inactive member,http://www.alona-divers.com/default.asp,alonadivers@hotmail.com
Green Fins,Mabini,Anilao Scuba Dive Center,inactive member,https://www.facebook.com/AnilaoScubaDiveCenter/,anilaoscubadivecenter@gmail.com
Green Fins,El Nido,APT Travel Inc. El Nido branch,inactive member,https://www.facebook.com/APTTravelsInc,vatolentino@apttravels.com.ph
Green Fins,Puerto Galera,Asia Divers Philippines,inactive member,http://www.asiadivers.com/,admin@asiadivers.com
Green Fins,Puerto Galera,BadLadz,inactive member,http://badladz.com,divebadladz@gmail.com
Green Fins,El Nido,Beachfront Travel and Tour,inactive member,https://www.facebook.com/beachfronttravelandtour?mibextid=ZbWKwL,beachfrontelnido@yahoo.com
Green Fins,Puerto Galera,Big Apple Dive Resort,inactive member,http://www.divebigapple.com,bigapplepuertogalera@gmail.com
Green Fins,El Nido,Bird's Nest Travel and Tours,inactive member,https://,marjelnido@gmail.com
Green Fins,Malapascua Island,Blue Heaven Diveshop,inactive member,https://,blueheaven@gmail.com
Green Fins,Puerto Galera,Blue Lagoon Dive Resort,inactive member,http://bluelagoondiveresort-philippines.com/en/home/,bluelagoondiveresort@gmail.com
Green Fins,Panglao Island,Blue Water Diving,inactive member,http://www.bluewaterdive.com/,mrgomc@gmail.com
Green Fins,Panglao Island,Bohol Divers Club,inactive member,https://www.alonaboholdiversclub.com/,alcarazsara@netscape.net
Green Fins,Panglao Island,Bohol Sea Resort,inactive member,https://www.boholsearesort.com,info@boholsearesort.ph
Green Fins,Mactan Island,Boyla Dive Centre,inactive member,https://www.boyladivingresort.net/,boyladiveresort@yahoo.com
Green Fins,El Nido,Cadlao Tour Booking Office,inactive member,https://,cadlaotour-beth@yahoo.com
Green Fins,El Nido,Caera Travel and Tours,inactive member,https://,caeratraveltourelnido@yahoo.com
Green Fins,El Nido,Cashem Travel and Tours,inactive member,https://www.facebook.com/gilbertelnido,gilbertelnidocashem13@gmail.com
Green Fins,Moalboal,Cebu Dive Centre,inactive member,http://www.cebudivecentre.com,info@cebudivecentre.com
Green Fins,Moalboal,Cebu Neptune Diving Adventures,inactive member,http://www.neptunediving.com/,johan@neptunediving.com
Green Fins,El Nido,Christian Jay Travel and Tours,inactive member,https://www.facebook.com/Ivan.hanz.372,ivanhanz22023@gmail.com
Green Fins,El Nido,Citrin Travel & Tours,inactive member,https://,citrintravelandtour@yahoo.com
Green Fins,Puerto Galera,Coco Divers,inactive member,http://www.cocodivers.com,sales@cocobeach.com
Green Fins,Panglao Island,Deep Blue Dive Resort,inactive member,http://www.deepblue-bohol.co.kr/,operation@deepbluedivecenter.com
Green Fins,El Nido,Deep Blue Dive Seafari Inc.,inactive member,http://www.deepblueseafari.com/,deepblueseafari@gmail.com
Green Fins,Panglao Island,Deepper Dive Inc,inactive member,http://www.deepper.co.kr,hanbuty@hanmail.net
Green Fins,El Nido,Distal's Island Hopping,inactive member,http://elnidoboutiqueandartcafe.com/,tanidistal@yahoo.com
Green Fins,Malapascua Island,Dive Society Malapascua,inactive member,http://www.divesociety.com/ds_mala/index_mala.asp,malapascua@divesociety.com
Green Fins,Malapascua Island,Divelink Cebu,inactive member,http://divelinkcebu.com/,divelinkcebu@yahoo.com
Green Fins,Puerto Galera,Diving Park,inactive member,https://www.divingpark.com,park3kr@gmail.com
Green Fins,El Nido,Dolarog Beach Resort,inactive member,http://www.dolarog.com,edolarog@gmail.com
Green Fins,El Nido,El Bacuit Travel and Tours,inactive member,https://,elbacuit_philippines@yahoo.com
Green Fins,Puerto Galera,El Canonero,inactive member,http://www.divingresortelcanonero.com/index_eng.html,info@divingresortelcanonero.com
Green Fins,El Nido,El Nido Resorts - Apulit Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,asamala@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Apulit Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/apulit-island-resort/about-apulit-island/,asamala@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Lagen Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,csantos@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Lagen Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/lagen-island-resort/about-lagen-island/,csantos@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Miniloc  Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,Nbarrameda@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Miniloc  Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/miniloc-island-resort/about-miniloc/,Nbarrameda@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Pangulasian Island - Diving Centre,inactive member,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,Mpolicarpio@elnidoresorts.com
Green Fins,El Nido,El Nido Resorts - Pangulasian Island - Snorkel Centre,inactive member,http://www.elnidoresorts.com/elnido/pangulasian-island-resort/about-pangulasian-island/,Mpolicarpio@elnidoresorts.com
Green Fins,Puerto Galera,Elizabeth's Hideaway - Sandbar,inactive member,http://www.sandbardivers.com,elizabethhideaway@gmail.com
Green Fins,Malapascua Island,Emerald Green Malapascua,inactive member,https://,info@emeraldgreen-malapascua.com
Green Fins,Malapascua Island,Exotic Dive Resort,inactive member,http://www.malapascua.net/,gopro@malapascua.net
Green Fins,El Nido,Fast & Furious Booking Office,inactive member,https://,
Green Fins,Malapascua Island,Fish Buddies,inactive member,http://www.fishbuddies.net/home.html,fishbuddiesmalapascua@gmail.com
Green Fins,Puerto Galera,Fishermen's Cove (Diver's Cove),inactive member,http://www.fishermenscove.com,info@fishermenscove.com
Green Fins,Malapascua Island,French Kiss Divers - Malapascua,inactive member,http://malapascua-plongee.com/,fkdmalapascua@gmail.com
Green Fins,Puerto Galera,Frontier Scuba,inactive member,http://www.frontierscuba.com,frontierscuba@gmail.com
Green Fins,Malapascua Island,Fun'n'Sun - Malapascua,inactive member,http://www.funsundivetravel.com/,sito@funsundivetravel.com
Green Fins,El Nido,Gemini Travel and Tours,inactive member,https://,geminitravelandtours@yahoo.com
Green Fins,Panglao Island,Go Deep,inactive member,http://godeep.ph/,office@godeep.ph
Green Fins,El Nido,Golden Monkey Travel and Tour,inactive member,https://www.facebook.com/GoldenMonkeyPh,doshermanos1082@gmail.com
Green Fins,El Nido,Haqqy Life Travel & Tours,inactive member,https://www.haqqy.life,hello.haqqylife@gmail.com
Green Fins,El Nido,Hawaiian Adventure,inactive member,https://,hawaiian_tours@yahoo.com
Green Fins,El Nido,Islandfront Island Tour Booking Office,inactive member,https://,islandfront_cottages@yahoo.com
Green Fins,El Nido,Islanen Outdoor Tours,inactive member,https://,loy_elnido@yahoo.com
Green Fins,Malapascua Island,Johan Dive,inactive member,http://www.johandive.com/,chelhwanoh@naver.com
Green Fins,Puerto Galera,John and Ann Travel and Tours,inactive member,https://www.Jaatravelandtours.com,jaatravelandtour@gmail.com
Green Fins,Panglao Island,Just Dive Bohol,inactive member,http://www.justdivebohol.com/,hum2d@naver.com
Green Fins,El Nido,Kapupuruan Travel and Tours,inactive member,https://www.facebook.com/Kapupuruantours,alfredhgustilo@gmail.com
Green Fins,El Nido,Leatherback Travel and Cruise,inactive member,https://www.facebook.com/leatherbacktravelandcruise,leatherbackcruise@gmail.com
Green Fins,El Nido,Life Simple Pleasure Travel and Tours,inactive member,https://,
Green Fins,Malapascua Island,Little Mermaid Dive Resort,inactive member,http://www.littlemermaiddiveresort.com/,malapascua@live.nl
Green Fins,Moalboal,M&L Divers Town,inactive member,http://www.oceanglobe.biz/,oceanglobe@hotmail.co.jp
Green Fins,Puerto Galera,Marco Vincent Dive Resort,inactive member,http://www.mvdive.com,om@mvdive.com
Green Fins,El Nido,Midnight Sun Island Tour,inactive member,http://midnightsunelnido.wordpress.com/,midnightsun_elnido_islandtour@yahoo.com
Green Fins,El Nido,Nido Cruiser,inactive member,https://,
Green Fins,El Nido,Northern Hope Tours,inactive member,https://,northernhopetours@gmail.com
Green Fins,Puerto Galera,Octopus Divers,inactive member,https://www.mac-octopusdivers.com,info@mac-octopusdivers.com
Green Fins,Puerto Galera,Paradise Dive Resort,inactive member,http://www.paradise-dive.net,diver_ricky@hotmail.com
Green Fins,Panglao Island,Paraiso Chino Dive Center,inactive member,https://,charles_zhang810@126.com
Green Fins,Panglao Island,Philippine Fun Divers,inactive member,https://www.boholfundivers.com,holger.horn@gmail.com
Green Fins,Panglao Island,Piratas Alona Diving Center,inactive member,https://www.piratasdivecenter.com,piratasalonadivingcenter@gmail.com
Green Fins,Puerto Galera,Puerto Galera Online Services,inactive member,https://www.puertogalera.org,puertogaleraoffice@gmail.com
Green Fins,Puerto Galera,Red Sun Dive Resort,inactive member,http://www.redsunresort.com,redsundiver@hotmail.com
Green Fins,Malapascua Island,Sea Explorers,inactive member,http://http://www.sea-explorers.com/eng-malapascua/,malapascua@sea-explorers.com
Green Fins,Dauin and Zamboanguita,Sea Explorers Dauin,inactive member,http://www.sea-explorers.com/dauin/,jan@sea-explorers.com
Green Fins,Puerto Galera,Sea Rider Dive Center,inactive member,http://www.seariderdivecenter.com,mark@seariderdivecenter.com
Green Fins,Malapascua Island,Sea Slug Divers,inactive member,https://,rhein1118@yahoo.com
Green Fins,Panglao Island,Seaquest Dive Center Bohol,inactive member,https://www.seaquestdivecenter.com,ben@seaquestdivecenter.com
Green Fins,El Nido,Servant Tour Booking Office,inactive member,https://,
Green Fins,Panglao Island,Sierra Madre Divers,inactive member,https://www.smdiversbohol.com,info@smdiversbohol.com
Green Fins,Puerto Galera,South Sea Divers,inactive member,http://www.southseadivers.com,dive@southseadivers.com
Green Fins,El Nido,Spur Travel & Tours,inactive member,https://www.spurtravelpalawan.com,spurtravel@yahoo.com
Green Fins,El Nido,Stingray Travel and Tours,inactive member,https://,
Green Fins,El Nido,Stunning Vistas Island Tours,inactive member,https://,reservation_stunningvista@yahoo.com
Green Fins,El Nido,Submariner Diving Centre,inactive member,http://www.submariner-diving.com/,info@submariner-diving.com
Green Fins,Puerto Galera,SYPHIL TRAVEL AND TOURS,inactive member,https://www.syphiltravelandtours.com/,cg.syphilentertainmentprod@gmail.com
Green Fins,Moalboal,The Blue Abyss Dive Shop,inactive member,http://www.blueabyssdiving.com/,info@blueabyssdiving.com
Green Fins,Malapascua Island,Thresher Cove Divers,inactive member,http://threshercove.com/,dish@threshercove.com
Green Fins,Puerto Galera,Tina's Reef Divers,inactive member,http://www.tinasreefdivers.com,info@tinasreefdivers.com
Green Fins,El Nido,Valric Booking Office,inactive member,https://,ruel.enaya@yahoo.com
Green Fins,Puerto Galera,Verde Divers,inactive member,http://www.gulidiving.com,gulidiving@gmail.com
Green Fins,Dauin and Zamboanguita,Wild Scuba Dive Center,inactive member,https://web.facebook.com/wildscubaph/?_rdc=1&_rdr,wildscubaph@gmail.com
Green Fins,Puerto Galera,Big Apple Dive Resort,inactive member,https://www.bigapplediveresort.com,jdthorp@hotmail.com
Green Fins,Dauin and Zamboanguita,Liquid Dive Dumaguete,inactive member,https://www.liquiddumaguete.com,dive@liquiddumaguete.com
Green Fins,Dauin and Zamboanguita,Mike's Dauin Beach Resort,inactive member,https://mikes-beachresort.com/,info@mikes-beachresort.com
Green Fins,Boracay,New Wave Divers Boracay,inactive member,https://www.newwavesdiversboracay.com,dive@newwavediversboracay.com
Green Fins,Mabini,Solitude Acacia Resort,inactive member,https://www.solitude.world,emailus@solitude-acacia.com
